AF3; T7; Pz; T8; AF4; Tempo
4334.74358996;4763.84615496;4334.61538483;4206.28205122;4404.35897471;2022-01-21 12:14:30.958944
4338.33333355;4797.05128324;4332.30769252;4208.07692301;4403.71794907;2022-01-21 12:14:30.959940
4336.66666688;4796.66666785;4335.00000021;4208.46153840;4432.94871837;2022-01-21 12:14:30.959940
4332.94871816;4732.56410361;4372.94871823;4533.71794935;4334.61538483;2022-01-21 12:14:30.960937
4334.35897457;4730.89743694;4403.84615420;4534.61538524;4337.94871816;2022-01-21 12:14:30.960937
4300.38461553;4762.30769342;4402.17948753;4532.17948781;4337.43589765;2022-01-21 12:14:30.960937
4307.17948732;4767.05128317;4405.38461574;4502.69230825;4339.87179508;2022-01-21 12:14:30.961969
4333.71794893;4760.64102676;4372.05128233;4497.30769287;4397.94871830;2022-01-21 12:14:30.961969
4335.76923098;4727.94871899;4306.53846168;4464.35897485;4400.25641061;2022-01-21 12:14:30.961969
4332.56410278;4759.10256522;4334.61538483;4468.58974408;4399.87179522;2022-01-21 12:14:30.963529
4306.53846168;4795.38461657;4332.30769252;4465.64102613;4371.92307720;2022-01-21 12:14:30.963529
4300.51282066;4796.92307811;4302.69230784;4438.46153888;4370.76923105;2022-01-21 12:14:30.963529
4272.69230777;4794.61538580;4302.17948732;4466.79487229;4369.61538490;2022-01-21 12:14:30.964564
4272.05128212;4759.35897547;4272.43589751;4467.30769280;4399.35897471;2022-01-21 12:14:30.964564
4271.92307700;4761.02564214;4269.10256418;4438.07692350;4371.92307720;2022-01-21 12:14:30.964564
4273.71794879;4766.28205240;4270.00000007;4464.87179536;4370.64102592;2022-01-21 12:14:30.965527
4271.79487187;4761.02564214;4268.46153853;4466.41025690;4370.76923105;2022-01-21 12:14:30.965527
4272.56410264;4731.15384720;4269.10256418;4467.43589793;4370.00000028;2022-01-21 12:14:30.965527
4272.30769238;4761.15384727;4236.02564103;4464.87179536;4368.58974387;2022-01-21 12:14:30.966557
4272.05128212;4763.84615496;4239.61538462;4465.12820562;4370.12820541;2022-01-21 12:14:30.966557
4272.82051289;4731.41025746;4273.84615392;4497.05128261;4365.89743618;2022-01-21 12:14:30.966557
4271.28205136;4759.23077035;4274.10256418;4496.92307748;4338.84615406;2022-01-21 12:14:30.967560
4272.30769238;4762.82051394;4270.00000007;4469.48717998;4338.71794893;2022-01-21 12:14:30.967560
4274.23076930;4764.74359086;4269.74358982;4470.76923126;4339.35897457;2022-01-21 12:14:30.967560
4300.76923091;4761.66666778;4268.20512828;4496.53846210;4339.23076944;2022-01-21 12:14:30.968554
4306.79487194;4730.25641130;4239.23076923;4465.38461587;4340.00000021;2022-01-21 12:14:30.968971
4336.02564124;4763.20512932;4273.33333341;4469.23076972;4366.15384644;2022-01-21 12:14:30.968971
4366.53846182;4830.51282177;4301.53846168;4496.66666723;4339.23076944;2022-01-21 12:14:30.968971
4365.64102592;4798.20512939;4299.87179501;4469.61538511;4340.38461560;2022-01-21 12:14:30.969971
4338.71794893;4733.20512925;4300.00000014;4466.53846203;4339.23076944;2022-01-21 12:14:30.969971
4306.28205142;4761.41025753;4273.33333341;4467.17948767;4339.74358996;2022-01-21 12:14:30.969971
4306.02564117;4793.84615503;4240.64102564;4438.07692350;4337.30769252;2022-01-21 12:14:30.969971
4306.28205142;4763.33333445;4268.71794879;4465.51282100;4340.00000021;2022-01-21 12:14:30.970968
4304.10256425;4766.02564214;4274.48717956;4467.05128254;4339.61538483;2022-01-21 12:14:30.970968
4306.41025655;4795.25641144;4299.74358989;4465.25641075;4368.58974387;2022-01-21 12:14:30.970968
4303.71794886;4759.87179599;4270.25641033;4437.82051324;4370.51282079;2022-01-21 12:14:30.971965
4300.25641040;4729.23077028;4273.07692315;4437.05128247;4372.05128233;2022-01-21 12:14:30.971965
4300.25641040;4731.66666771;4273.97435905;4464.48717998;4372.05128233;2022-01-21 12:14:30.971965
4332.94871816;4759.74359086;4299.74358989;4465.38461587;4371.66666695;2022-01-21 12:14:30.971965
4303.71794886;4792.94871913;4300.38461553;4463.97435946;4370.64102592;2022-01-21 12:14:30.973970
4304.61538476;4796.79487298;4273.20512828;4436.53846196;4371.15384644;2022-01-21 12:14:30.976999
