AF3; T7; Pz; T8; AF4; Tempo
4332.69230790;4796.02564221;4435.38461581;4235.25641026;4436.15384657;2022-01-21 11:46:44.654368
4305.76923091;4796.92307811;4432.30769273;4239.35897436;4437.17948760;2022-01-21 11:46:44.655365
4332.69230790;4764.48718060;4403.71794907;4240.76923077;4437.82051324;2022-01-21 11:46:44.655365
4303.58974373;4758.97436009;4432.30769273;4240.76923077;4464.61538511;2022-01-21 11:46:44.656361
4306.79487194;4798.46153965;4431.15384657;4237.94871795;4438.33333375;2022-01-21 11:46:44.656361
4306.15384630;4826.92307818;4405.38461574;4240.76923077;4437.69230811;2022-01-21 11:46:44.657360
4303.33333348;4765.00000112;4372.69230797;4339.35897457;4398.71794907;2022-01-21 11:46:44.657360
4301.02564117;4824.74359100;4403.46153881;4304.23076937;4401.92307727;2022-01-21 11:46:44.657360
4271.66666674;4793.84615503;4399.87179522;4271.28205136;4372.43589772;2022-01-21 11:46:44.658358
4270.76923084;4763.97436009;4398.20512856;4238.58974359;4372.82051310;2022-01-21 11:46:44.659355
4273.84615392;4799.61538580;4400.25641061;4201.79487173;4402.05128240;2022-01-21 11:46:44.660353
4272.82051289;4825.76923202;4401.41025676;4235.12820513;4404.35897471;2022-01-21 11:46:44.660353
4271.66666674;4794.35897554;4370.51282079;4269.61538469;4399.10256445;2022-01-21 11:46:44.661438
4302.17948732;4793.71794990;4398.46153881;4269.48717956;4402.69230804;2022-01-21 11:46:44.663407
4302.30769245;4793.84615503;4398.71794907;4237.43589744;4399.10256445;2022-01-21 11:46:44.663407
4274.48717956;4766.66666778;4400.64102599;4268.84615392;4401.79487215;2022-01-21 11:46:44.664343
4299.48717963;4796.79487298;4400.51282086;4238.33333334;4400.12820548;2022-01-21 11:46:44.664343
4304.61538476;4796.53846272;4402.82051317;4273.84615392;4398.71794907;2022-01-21 11:46:44.665373
4302.30769245;4762.05128317;4399.35897471;4299.74358989;4371.53846182;2022-01-21 11:46:44.665373
4302.43589758;4792.94871913;4372.69230797;4303.58974373;4398.20512856;2022-01-21 11:46:44.666346
4300.89743604;4824.74359100;4366.66666695;4501.53846210;4370.12820541;2022-01-21 11:46:44.666346
4302.05128219;4795.25641144;4365.51282079;4562.82051352;4369.61538490;2022-01-21 11:46:44.666346
4273.97435905;4765.64102676;4368.46153874;4463.84615434;4401.66666702;2022-01-21 11:46:44.666346
4301.28205142;4797.17948836;4340.00000021;4401.41025676;4398.84615420;2022-01-21 11:46:44.667367
4299.48717963;4796.66666785;4366.41025669;4434.10256452;4399.23076958;2022-01-21 11:46:44.667367
4301.79487194;4764.74359086;4369.61538490;4402.56410292;4401.79487215;2022-01-21 11:46:44.667367
4302.30769245;4763.71794983;4372.94871823;4370.51282079;4402.82051317;2022-01-21 11:46:44.668363
4301.92307707;4799.48718067;4370.25641054;4337.17948739;4399.10256445;2022-01-21 11:46:44.668363
4301.79487194;4832.69230895;4372.30769259;4368.20512849;4398.58974394;2022-01-21 11:46:44.668363
4300.25641040;4796.15384734;4370.00000028;4403.46153881;4371.28205156;2022-01-21 11:46:44.668363
4302.82051296;4761.02564214;4372.56410285;4372.30769259;4399.10256445;2022-01-21 11:46:44.669361
4300.51282066;4794.23077042;4398.58974394;4365.51282079;4400.64102599;2022-01-21 11:46:44.669361
4274.74358982;4798.58974477;4397.94871830;4370.38461567;4397.94871830;2022-01-21 11:46:44.669361
4272.17948725;4795.64102683;4371.15384644;4367.82051310;4369.48717977;2022-01-21 11:46:44.669361
4273.71794879;4796.66666785;4372.17948746;4372.82051310;4372.17948746;2022-01-21 11:46:44.670359
4272.69230777;4797.05128324;4370.25641054;4398.33333368;4371.15384644;2022-01-21 11:46:44.670359
4272.30769238;4792.82051401;4371.02564131;4365.89743618;4398.07692343;2022-01-21 11:46:44.670359
4270.76923084;4765.25641137;4370.76923105;4368.58974387;4371.79487208;2022-01-21 11:46:44.670359
4299.87179501;4791.92307811;4370.00000028;4368.71794900;4369.61538490;2022-01-21 11:46:44.671357
4301.53846168;4797.17948836;4372.43589772;4365.89743618;4372.94871823;2022-01-21 11:46:44.671357
4300.64102578;4830.00000125;4371.79487208;4333.58974380;4370.00000028;2022-01-21 11:46:44.672319
4274.61538469;4799.87179606;4369.74359003;4367.30769259;4366.15384644;2022-01-21 11:46:44.672319
4302.43589758;4794.61538580;4371.66666695;4399.10256445;4367.05128233;2022-01-21 11:46:44.672319
4300.00000014;4794.35897554;4401.41025676;4373.20512849;4398.20512856;2022-01-21 11:46:44.672319
4299.87179501;4791.92307811;4370.89743618;4337.94871816;4369.35897464;2022-01-21 11:46:44.673317
4302.05128219;4765.00000112;4369.87179515;4372.17948746;4371.53846182;2022-01-21 11:46:44.673317
4299.87179501;4766.02564214;4367.56410285;4500.25641082;4371.79487208;2022-01-21 11:46:44.673317
4300.64102578;4793.84615503;4370.12820541;4465.12820562;4401.28205163;2022-01-21 11:46:44.674314
4303.46153860;4792.05128324;4367.69230797;4301.92307707;4404.23076958;2022-01-21 11:46:44.674314
4306.66666681;4763.46153958;4368.97435926;4272.94871802;4403.97435933;2022-01-21 11:46:44.674314
4301.15384630;4793.46153965;4366.92307720;4274.10256418;4398.71794907;2022-01-21 11:46:44.675310
4303.97435912;4828.71794997;4369.87179515;4299.48717963;4398.46153881;2022-01-21 11:46:44.675310
4302.05128219;4825.00000125;4369.35897464;4432.94871837;4370.51282079;2022-01-21 11:46:44.676310
4301.53846168;4792.43589862;4369.23076951;4498.71794928;4368.84615413;2022-01-21 11:46:44.676310
4299.48717963;4795.00000119;4371.79487208;4369.74359003;4371.66666695;2022-01-21 11:46:44.677311
4302.69230784;4798.33333452;4372.56410285;4332.69230790;4398.07692343;2022-01-21 11:46:44.677311
4301.28205142;4766.53846265;4398.84615420;4431.79487222;4398.07692343;2022-01-21 11:46:44.677311
4272.82051289;4760.38461650;4371.79487208;4402.82051317;4371.92307720;2022-01-21 11:46:44.678305
4270.00000007;4761.28205240;4369.35897464;4334.10256431;4370.51282079;2022-01-21 11:46:44.678305
4274.10256418;4797.30769349;4366.66666695;4366.15384644;4367.17948746;2022-01-21 11:46:44.678305
4300.76923091;4798.07692426;4403.20512856;4336.41025662;4406.02564138;2022-01-21 11:46:44.679301
4302.56410271;4795.00000119;4435.00000042;4110.64102537;4435.51282093;2022-01-21 11:46:44.679301
4332.69230790;4792.56410375;4405.64102599;4141.66666646;4403.71794907;2022-01-21 11:46:44.680299
4302.94871809;4765.51282163;4371.41025669;4372.56410285;4367.05128233;2022-01-21 11:46:44.680299
4273.07692315;4767.05128317;4400.89743625;4336.28205149;4372.17948746;2022-01-21 11:46:44.683640
4301.15384630;4762.94871906;4400.89743625;4169.48717935;4398.71794907;2022-01-21 11:46:44.694962
4305.89743604;4761.15384727;4399.74359009;4235.89743590;4399.61538497;2022-01-21 11:46:44.709915
4301.66666681;4796.66666785;4370.76923105;4300.12820527;4399.87179522;2022-01-21 11:46:44.712907
4303.71794886;4824.87179613;4369.87179515;4306.15384630;4401.02564138;2022-01-21 11:46:44.716896
4302.69230784;4763.20512932;4370.89743618;4369.35897464;4402.56410292;2022-01-21 11:46:44.724071
4303.58974373;4792.05128324;4370.00000028;4336.66666688;4401.28205163;2022-01-21 11:46:44.735674
4300.12820527;4825.38461664;4339.61538483;4465.12820562;4400.51282086;2022-01-21 11:46:44.746645
4302.17948732;4764.74359086;4336.53846175;4599.87179564;4372.69230797;2022-01-21 11:46:44.747679
4299.87179501;4732.82051387;4370.00000028;4438.58974401;4371.02564131;2022-01-21 11:46:44.766594
4302.05128219;4796.92307811;4399.10256445;4235.76923077;4371.66666695;2022-01-21 11:46:44.767637
4302.05128219;4826.79487305;4372.94871823;4337.82051303;4373.07692336;2022-01-21 11:46:44.780205
4301.15384630;4796.15384734;4367.69230797;4466.41025690;4369.35897464;2022-01-21 11:46:44.781200
4302.05128219;4793.20512939;4400.64102599;4299.74358989;4400.00000035;2022-01-21 11:46:44.791173
4302.05128219;4766.79487291;4405.51282086;4074.99999966;4405.38461574;2022-01-21 11:46:44.798157
4303.97435912;4793.20512939;4402.30769266;4171.79487166;4404.23076958;2022-01-21 11:46:44.802147
4273.33333341;4825.89743715;4371.53846182;4401.02564138;4372.43589772;2022-01-21 11:46:44.816803
4271.79487187;4795.12820631;4398.33333368;4369.74359003;4400.64102599;2022-01-21 11:46:44.824786
4271.79487187;4762.17948830;4398.46153881;4142.05128185;4401.53846189;2022-01-21 11:46:44.834751
4273.20512828;4798.20512939;4399.35897471;4139.10256390;4402.05128240;2022-01-21 11:46:44.834751
4272.43589751;4829.87179613;4371.66666695;4340.25641047;4369.23076951;2022-01-21 11:46:44.846721
4274.10256418;4794.74359093;4398.71794907;4403.71794907;4369.23076951;2022-01-21 11:46:44.849732
4300.64102578;4759.74359086;4432.69230811;4206.79487173;4430.76923119;2022-01-21 11:46:44.861681
4305.00000014;4764.35897547;4435.12820555;4136.02564082;4433.07692350;2022-01-21 11:46:44.863731
4303.84615399;4825.64102690;4404.61538497;4235.00000000;4401.15384651;2022-01-21 11:46:44.871652
4302.82051296;4827.43589869;4400.89743625;4203.84615378;4398.46153881;2022-01-21 11:46:44.883622
4302.30769245;4764.10256522;4401.66666702;4139.61538441;4403.20512856;2022-01-21 11:46:44.895600
